Q,H,Q_ssa,H_ssa
35750.26,35706.08,35744.93673599491,35718.978106808456
35717.25,35704.83,35737.64972715407,35712.58224417861
35713.89,35693.71,35731.15794735568,35706.789294283226
35747.29,35717.58,35725.30577340789,35701.55160310924
35728.15,35720.01,35719.46791086535,35696.38022255057
35726.29,35702.99,35713.757008043984,35691.04403515943
35706.52,35693.71,35708.10911636436,35685.62310866255
35697.65,35682.56,35702.785586142316,35680.15560658573
35693.25,35666.95,35697.89505621555,35674.74927423212
35684.0,35649.47,35693.46657059098,35669.57220103514
35707.09,35688.29,35689.59693567497,35664.82622595598
35704.85,35692.03,35685.97458241058,35660.12661329816
35704.43,35644.54,35682.69831967257,35655.547899177785
35651.24,35622.74,35679.83645134358,35651.783679573186
35650.0,35622.74,35678.136338438206,35649.16996191293
35674.51,35635.01,35677.66070777586,35647.81593629447
35670.04,35649.31,35678.036003880494,35647.59644395397
35681.39,35662.4,35679.230996575374,35648.32908783833
35676.33,35653.12,35681.05915955964,35649.76777083941
35663.95,35643.34,35683.460307776986,35651.9232077484
35667.86,35630.38,35686.456695267865,35654.77619918792
35666.95,35631.99,35689.91042932027,35658.398335575075
35720.49,35666.95,35693.81145475927,35662.59817789152
35720.49,35685.74,35697.353773645504,35666.82296862128
35719.61,35680.01,35700.39941316618,35670.69689435792
35720.49,35689.96,35702.95393101261,35674.17512721827
35720.49,35693.42,35704.94416345497,35677.07692893473
35705.61,35683.35,35706.36203844441,35679.29936772389
35708.95,35682.93,35707.38396779293,35680.90943223412
35712.93,35701.36,35707.94684078575,35681.89100093101
35703.07,35673.7,35708.008878431196,35681.99743840432
35683.36,35665.03,35707.548219453216,35681.49896893032
35690.88,35662.01,35706.80897531513,35680.48015127917
35695.61,35689.01,35705.66002271379,35679.024256002296
35688.36,35675.05,35704.09969154256,35676.79208957226
35691.0,35680.01,35702.2017179033,35673.96112896418
35729.77,35662.0,35699.88521660155,35670.46557055134
35687.27,35664.11,35696.539524724176,35666.495560078874
35729.76,35683.56,35692.66740105293,35661.99353865008
35719.8,35686.73,35687.70448842361,35656.820433766
35712.63,35649.47,35681.76326682118,35651.023014433886
35686.44,35661.32,35674.9256579791,35644.98254544909
35665.38,35641.88,35667.626004260084,35638.612828431884
35650.94,35617.45,35660.203276305685,35632.18262942118
35629.05,35613.49,35653.101593274114,35626.07261064376
35631.75,35603.34,35646.80821988112,35620.420007806206
35628.83,35606.96,35641.415355884215,35615.43126197122
35628.66,35614.22,35637.17501191901,35611.20035730291
35622.3,35600.01,35634.33970272414,35607.7826891818
35605.24,35600.39,35633.11479241101,35605.4874318075
35650.4,35602.52,35633.796833017834,35604.38959681194
35645.83,35610.08,35635.777475792245,35604.534710309075
35645.19,35605.23,35639.04616265939,35605.83466049593
35641.79,35624.15,35643.47252884823,35608.26008273334
35631.35,35596.03,35648.94690507402,35611.45937613348
35609.94,35586.79,35655.44182421786,35615.657861187
35644.89,35609.94,35663.04813551551,35620.81903355608
35662.12,35646.0,35671.00724830662,35626.51657963445
35662.6,35596.03,35678.95563258627,35632.13814039738
35702.98,35573.39,35686.56854553064,35638.080351445475
35739.56,35700.05,35693.17911330073,35644.47704672926
35747.29,35680.74,35698.14538296203,35649.7410922809
35740.45,35676.22,35701.305456866605,35653.961095216415
35700.0,35665.07,35702.7956965458,35657.16415737378
35701.99,35691.04,35703.20764231478,35659.46772337089
35733.53,35700.67,35702.595686822606,35660.57313297621
35710.31,35670.85,35700.5160767788,35660.3928891921
35669.85,35649.47,35697.41266810052,35659.35055915178
35664.34,35622.74,35693.96848684427,35657.770450001124
35658.7,35622.74,35690.41277854266,35656.13013840272
35668.07,35632.74,35687.069993956924,35654.55437269201
35693.71,35638.35,35683.95412380434,35653.081683055585
35699.99,35671.08,35680.924915057396,35651.78323497919
35696.48,35671.32,35678.106810419755,35650.430142777564
35693.66,35667.99,35675.775221415635,35649.16347258794
35681.88,35657.29,35674.184528481106,35648.235256468106
35676.27,35655.92,35673.76794930081,35647.97560122511
35662.55,35649.47,35674.73838838787,35648.579827512214
35677.95,35651.72,35677.37566382819,35650.30962944834
35653.73,35633.06,35681.56547483342,35653.2929636751
35668.9,35622.74,35687.58255302535,35657.85680250954
35683.27,35666.35,35695.196656779015,35664.064809553995
35669.26,35649.47,35704.15573232803,35671.495247417544
35678.39,35664.72,35714.6083306469,35680.365047213905
35693.71,35667.59,35726.34597443028,35690.41766978369
35756.58,35693.71,35738.97354665891,35701.44403427997
35762.63,35703.99,35751.248843653724,35712.91005279916
35783.41,35736.93,35762.828378136735,35724.39864203842
35810.26,35729.78,35773.270826267806,35735.365929987194
35799.73,35760.01,35782.00671301115,35745.52726118441
35795.02,35760.02,35789.03577550159,35754.26904743102
35807.99,35785.61,35794.31982212286,35761.356149634026
35816.86,35798.62,35797.56016603817,35766.324525793374
35818.14,35810.02,35798.75222108597,35768.943435681904
35827.81,35802.19,35798.0469027178,35769.11601431122
35803.21,35783.42,35795.55442737628,35767.107139815285
35784.52,35762.77,35791.875678099044,35763.3972088933
35786.99,35720.49,35787.56900586008,35758.5350456515
35779.23,35756.59,35782.92353945333,35753.37911765501
35786.99,35758.26,35778.33075092723,35747.84317603437
35759.59,35756.59,35774.06951664461,35742.31949905576
35756.59,35720.49,35770.7383263041,35737.183377305846
35732.25,35700.52,35768.55653372437,35733.110667374676
35734.24,35705.04,35768.05075064934,35730.61296956248
35720.0,35706.54,35769.27004814047,35729.807551624144
35773.08,35711.15,35772.388733421656,35730.77007697455
35800.95,35774.11,35776.591324230634,35733.488109570644
35796.05,35666.95,35781.48839192013,35737.22643394677
35802.03,35780.02,35787.06173015316,35743.19041237484
35802.01,35762.09,35793.14150318918,35749.96005846684
35800.95,35761.02,35799.66644605472,35757.60783123933
35837.13,35764.02,35806.56140507125,35765.9848984206
35805.81,35764.01,35813.22155091583,35774.88035316678
35803.65,35783.47,35819.99125116032,35784.13814807071
35801.47,35784.24,35826.8272390171,35793.36533996026
35823.95,35796.97,35833.667282294366,35802.41728108311
35837.13,35810.0,35840.20440975151,35811.04581285023
35854.69,35830.0,35846.224032452825,35818.982487126545
35862.35,35846.61,35851.36913797969,35825.90945730115
35845.54,35825.01,35855.45261156301,35831.46679949037
35859.15,35830.13,35858.65276848561,35835.854516685155
35875.0,35855.63,35860.76734099671,35838.99580304328
35874.06,35860.0,35861.58928545549,35840.63221999955
35879.67,35857.52,35861.181694554165,35840.74901685138
35892.7,35871.04,35859.54409096776,35839.437593652234
35875.3,35850.25,35856.659962655045,35836.68618404186
35851.88,35815.51,35852.85097119799,35832.94667032722
35845.0,35824.0,35848.581846714646,35828.811080411
35830.02,35811.62,35844.19467174623,35824.5496305417
35831.55,35813.5,35840.114199756346,35820.462181277915
35835.9,35824.39,35836.54413731158,35816.818370528614
35835.83,35813.3,35833.65080541112,35813.72552588907
35823.91,35803.07,35831.54346417364,35811.53033364372
35819.82,35804.44,35830.4605562047,35810.513917765624
35819.83,35808.17,35830.55194550001,35810.699824891395
35804.49,35789.0,35831.9477660904,35812.08895646744
35802.15,35788.58,35834.86347819936,35814.89360943976
35827.81,35800.01,35839.26229866462,35819.02434399332
35850.02,35825.85,35844.80238253718,35824.25976704373
35849.88,35834.63,35851.252588473,35830.24216812412
35879.98,35837.23,35858.63369819364,35836.90288925968
35884.99,35844.93,35866.65953533331,35844.20312583394
35905.0,35874.9,35875.327633662746,35852.05801665352
35904.91,35891.96,35884.31834300623,35860.25031803017
35897.0,35878.51,35893.78569437379,35868.574647676214
35890.57,35872.41,35903.84354989038,35877.198455868675
35900.24,35880.01,35914.61128839062,35886.234195090045
35900.0,35879.43,35925.87510262096,35895.62304127258
35908.51,35884.39,35937.75925551463,35905.2664998999
35917.86,35887.74,35949.946092194485,35914.927824195205
35917.86,35902.83,35962.09851691004,35924.30054936069
35935.45,35903.28,35973.89477342206,35932.95547640256
36016.39,35917.78,35984.89610174864,35940.67338716506
36033.41,35971.79,35993.86587153628,35947.01283909287
36013.6,35971.79,36000.30959570113,35951.02977363453
36023.03,35971.79,36004.243722757165,35952.42481419317
36067.11,36012.14,36005.25591360671,35950.91282535088
36053.87,36015.05,36002.41163334833,35945.7274919206
36015.05,35990.01,35995.63915973554,35936.66663187987
36028.62,35936.36,35985.39093657551,35923.91854255507
35956.17,35917.87,35971.378471157,35908.136407172926
35920.1,35890.94,35954.57109179909,35889.6287399112
35962.41,35783.42,35935.62590005373,35868.850430304956
35880.94,35831.85,35913.963977134335,35847.19921708311
35871.72,35835.71,35890.76766642321,35824.17238088952
35860.09,35804.15,35866.28392305281,35799.88276717385
