Q,H,Q_ssa,H_ssa
35056.98,35030.7,35099.31812963061,35006.041962901836
35030.7,34978.2,35088.11905121694,35000.56888672712
35043.83,34978.2,35076.71808560899,34993.982933407315
35029.19,34951.98,35065.93344929645,34987.218990010406
34954.39,34951.98,35056.61991896963,34981.329636397844
35030.71,34925.78,35050.22508436249,34976.76424610241
34956.81,34925.78,35046.0844761706,34974.23691049709
35024.26,34925.78,35045.274436020874,34973.952304044324
35009.04,34945.54,35046.76074868221,34975.834008165075
35004.45,34945.54,35050.446805991836,34979.41663050189
35030.71,34964.0,35055.86620488675,34984.419817510985
35109.61,34945.54,35062.34690132196,34990.22289248144
35085.73,35050.54,35068.33116033431,34996.70857376744
35081.41,35004.88,35073.804956397114,35002.14524447063
35135.95,35050.54,35078.28592478147,35006.77113579979
35147.49,35050.54,35080.70931388312,35009.65481169455
35161.75,35092.78,35080.675793343355,35010.51735109605
35151.28,35090.05,35078.054988193944,35008.81513765808
35103.28,35056.98,35073.06113996562,35004.74541109175
35073.9,35030.7,35066.72393363278,34998.98549421143
35052.42,34978.2,35060.16810154861,34992.642111238056
35000.0,34951.98,35054.69444828943,34987.07161695453
34951.98,34899.6,35051.69981824298,34983.33500036993
35004.45,34899.6,35052.35554999564,34982.70274038519
35030.71,34947.15,35056.39853121624,34985.718670152004
35004.45,34946.9,35063.896718248005,34992.091468124505
35050.54,34949.84,35075.13369449204,35001.98336974809
35083.29,35015.36,35089.63796405059,35015.40712707224
35109.61,35058.89,35106.62707668253,35031.38968494363
35135.95,35050.54,35125.60669331133,35049.16567626481
35132.8,35076.84,35145.84186339219,35068.540590415
35155.85,35111.34,35166.91593640414,35088.79777940591
35125.53,35072.28,35187.91275527049,35109.03274799126
35235.05,35082.93,35208.76371451311,35129.14879400134
35287.95,35155.86,35227.45574831316,35148.54762919469
35320.89,35256.42,35242.628341688316,35165.72570879785
35294.41,35235.06,35253.535576659706,35179.018887300546
35320.89,35235.06,35260.36439538879,35188.43829884682
35294.41,35235.06,35262.91583153667,35194.011658225325
35293.92,35194.2,35261.84199442275,35195.92292364234
35241.51,35188.69,35257.59727501883,35195.05893542621
35229.9,35188.69,35251.54840451312,35192.036087398
35228.19,35182.49,35244.57202554525,35187.447591250115
35224.58,35164.9,35237.3787225145,35182.00187035726
35215.09,35171.38,35230.5105594297,35176.504587942596
35245.37,35208.64,35224.64753098214,35171.38141369234
35215.09,35182.24,35219.89177866112,35166.63209388754
35236.55,35180.1,35216.87683533464,35163.014665185365
35172.32,35135.95,35215.53355646472,35160.842073709326
35178.72,35119.92,35216.69321006489,35160.84596031714
35162.31,35083.28,35220.192983188164,35163.16902311363
35155.87,35112.46,35226.15239111259,35168.219485003916
35182.23,35103.16,35234.33840190782,35175.36988373093
35215.09,35155.86,35244.15262165974,35184.5274109465
35294.41,35213.45,35254.6271359509,35194.78014492636
